images,destination,price_normal,price_discount,rating,location
"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67816403-9cb659271a4c20ab394936a2006c631d.jpeg?tr=q-40,w-300,h-300&_src=imagekit",The Gaia Hotel Bandung,Rp 3.440.000,Rp 2.580.000,5,"Setiabudi, Bandung"
"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67816403-9cb659271a4c20ab394936a2006c631d.jpeg?tr=q-40,w-300,h-300&_src=imagekit",The Gaia Hotel Bandung,Rp 3.440.000,Rp 2.580.000,5,"Setiabudi, Bandung"
"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67816403-9cb659271a4c20ab394936a2006c631d.jpeg?tr=q-40,w-300,h-300&_src=imagekit",The Gaia Hotel Bandung,Rp 3.440.000,Rp 2.580.000,5,"Setiabudi, Bandung"
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10003464-184bd005fbf82b851712c935edf4e5e7.jpeg?tr=q-40,w-300,h-300&_src=imagekit",eL Hotel Royale Bandung,Rp 1.596.000,Rp 1.197.000,4,"Merdeka, Bandung"
