kategori,url
hotel,https://www.traveloka.com/en-id/hotel/search?spec=02-05-2022.03-05-2022.1.1.HOTEL_GEO.103859.Bandung.2&userPreferences=TRAVEL_FOR_BUSINESS
hotel,https://www.traveloka.com/en-id/hotel/search?spec=02-05-2022.03-05-2022.1.1.HOTEL_GEO.103859.Bandung.1
